name,lat,lon
Radhamohanpur,,
Jagannathpur,,
Binodnagar,,
Kharigara,,
Kokilpur,,
Kalyani,,
Digshuli,,
Daldali,,
Chakgopalpur,,
Lauda,,
Amlagura,,
Goaladangar,,
Patlabani,,
Ramkrishnapur,,
Siarbada,,
Beryakhamar,,
Haryaki,,
Balguma,,
Bahrabandh,,
Rasiknagarpur,,
Kadagot,,
Layadadumarya,,
Gholkunda,,
Madhabpur,,
Chakuparshol,,
Ratanpur,,
Barkurpa,,
Barkala,,
Machhrakhi,,
Chhoto Kurpa,,
Mandarbani,,
Pitambarpur,,
Benachapra,,
Rautara,,
Kawabasa,,
Panbaraj,,
Kiabati,,
Bhulanpur,,
Palashbani,,
Gengari,,
Pratappur,,
Gopalpur,,
Dhabani,,
Metyala,,
Jamjuri,,
Churamanipur,,
Patadubi,,
Aguriband Punishol,,
Dhanda Keshabpur,,
Dubrakon,,
Nutangram,,
Sahebganj,,
Benajira,,
Panchami,,
Majura,,
Rampur,,
Hatbari,,
Tilabani,,
Asnashol,,
Dhengakend,,
Jaba Balarampur,,
Bagakhulya Monoharpur,,
Gangadaspur,,
Basuara,,
Ekaria,,
Kamala,,
Surpanagar,,
Sonatapal,,
Beliara,,
Malator,,
Bagjata,,
Debagram,,
Baidyanathpur,,
Mankhamar,,
Bhatgram,,
Banamalipur,,
Mukundabati,,
Angadpur,,
Bhaluka,,
Karra,,
Hemchabad,,
Lodna,,
Madanpur,,
Bhangabandh,,
Bheduashol,,
Kamalpur,,
Bhimpur,,
Santor,,
Tapoban,,
Birsinghapur,,
Jagannathpur,,
Sayerbakra,,
Kotalpur,,
Ramnagar,,
Dhabani,,
Bikrampur,,
Indkata,,
Manipur,,
Guinandi,,
Itapanchira,,
Paharpur,,
Ola,,
Dubarajpur,,
Sahapur,,
Diga,,
Bathan Tara,,
Elyati,,
Nikunjapur,,
Pingrui,,
Belatukri,,
Nishchintapur,,
Shalihan,,
Chandra Gopalpur,,
Shalghata,,
Murakata,,
Lohari Brindabanpur,,
Kochkhalui,,
Brindabanpur,,
Shushina Gobindarampur,,
Ramargram,,
Hatiband,,
Tol Chandrakona,,
Madanmohanpur,,
Chandipur,,
Jamtara,,
Mayta,,
Dhagarya,,
Pantha,,
Rasiara,,
Hiradangar,,
Tentulmuri,,
Maitha,,
Jambani,,
Sabanpur,,
Shrirampur,,
Kanaipur,,
Panchdanna,,
Kumardanga,,
Puthia,,
Tella,,
Sadishta,,
Chandrakona,,
Raghunathnagar,,
Baharamuri,,
Gopalpur,,
Chak Krishnanagar Thakurbari,,
Pechara,,
Sheoraghati,,
Shyamnagar,,
Kamarkata,,
Rajduha,,
Krishnasinghpur,,
Jambedya,,
Chingani,,
Geredaha,,
Benagari,,
Chhagulia,,
Amarpur,,
Chak Krishna Singhpur,,
Kelyajuri,,
Chaulabad,,
Ambari Hazarigram,,
Dharsona,,
Niada,,
Chak Muktapur,,
Dhengashol,,
Arabani,,
Mandiha,,
Mauleshwar,,
Medinipur,,
Datina,,
Krishnanagar,,
Kalla,,
Shimabaid,,
Raghunathpur,,
Onda,,
Gogra,,
Prajabad,,
Kushte,,
Bhaduldanga,,
Gopinathpur Etajhira,,
Churamanipur,,
Patrahati,,
Shuklai,,
Gamidya,,
Nayananadapur,,
Majdiha,,
Balarampur,,
Amlatara,,
Angaria,,
Madanmohanpur,,
Kheruashol,,
Betajora,,
Bhalukkhulya,,
Brindabanpur,,
Shirsha,,
Siara,,
Kundalia,,
Bhedua,,
Kunchishol,,
Ektarpur,,
Chabra,,
Makarkol,,
Bahulara,,
Bhetiara,,
Nandabhanga,,
Harra,,
Damasini,,
Churamanipur,,
Phulbaria,,
Nabajibanpur,,
Charuikur,,
Bhagabanpur,,
Dalimahara,,
Mukundapur,,
Gobindapur,,
Pundra,,
Jamra Madhabpur,,
Indra,,
Khamarbere,,
Damodarbati,,
Jamdoba,,
Datina Purushottampur,,
Banshdanga,,
Singargaria,,
Patharkata,,
Maudi,,
Tunka,,
Baruipara,,
Sundarpur,,
Teliberia,,
Puncha,,
Kalyari,,
Patpur,,
Mauchura,,
Chhinpur,,
Barpetya,,
Malpur,,
Lapur,,
Barmagura,,
Ramsagar,,
Teghara,,
Surmmanagar,,
Mathura,,
Radhamadhabpur,,
Dhulyapur,,
Sinhati,,
Hatibari,,
Ashanbani,,
Agarda,,
Dhanghari,,
Bagakhulia,,
Hetemoa,,
Jadabnagar,,
Jagannathbati,,
Bhajibari,,
Ramarchunpuan,,
Kantabari,,
Bauridanga,,
Chak Bagmari,,
Bagmari Maheshpur,,
Kharbaribadni,,
Jhatibani,,
Agarda Purushottampur,,
Basuribera,,
Gopinathpur,,
Chak Tunka,,
Muktapur,,
Lauria,,
Kanaijuri,,
Gorasole,,
Nakaijuri,,
Betjhuria,,
Chak Nakaijuri,,
Mohanpur,,
Agaya Nandanpur,,
Patangapur,,
Chandabila,,
Bhagabanbati,,
Bakinala,,
Jamadahara,,
Mahishdoba,,
Benabandi,,
Bhedua,,
Manipur,,
Manara,,
Surbhagaband,,
Brahamandhara,,
Balarampur,,
Bibarda,,
Dangjuri,,
Beldangra,,
Paika,,
Bhandya,,
Khalgram,,
Kamardiha,,
Belashuli Shyamsundarpur  ndarpur,,
Chandkuri,,
Kali,,
Mahada,,
Kadamara,,
Payna Damodarpur,,
Chak Nutangram,,
Raghunathpur,,
Paryardang,,
Pedda,,
Brahmandiha,,
Sulgi,,
Kiashol,,
Ladda,,
Marasol,,
Harmasra,,
Keshatara,,
Bhimara,,
Chunalu,,
Dolbagicha,,
Jarkapaksara,,
Karanjbedia,,
Baghdoba,,
Ghagar,,
Patharkura,,
Tilabani,,
Kuldiha,,
Chak Kuldiha,,
Sushunia,,
Mahishakanali,,
Balibandh,,
Nabagram,,
Maibandhi,,
Khichka,,
Kadma,,
