id,ph,ec,organic_carbon,nitrogen,phosphorus,potassium,sulpher,zinc,boron,iron,manganese,copper,test_id,created_at,updated_at,ph_rating,ec_rating,oc_rating,n_rating,p_rating,k_rating,s_rating,zn_rating,b_rating,fe_rating,mn_rating,cu_rating,mixed_fertilizer_rate_id,zn_rw_rating,user_id,shc_lang_version,distributed,soil_health_cards_count
45243,4.7,0.06,0.88,324.544,345.0,60.0,7.76,0.42,0.34,24.52,5.74,2.83,62696,2016-07-14 18:29:59.999999,2016-07-14 12:58:16.233107,1,5,7,8,7,9,9,11,11,10,10,10,1,11,,bn,1.0,2
45244,4.3,0.12,0.9,331.92,278.0,565.0,8.15,0.62,0.14,30.63,4.7,3.7,62697,2016-07-14 18:29:59.999999,2016-07-14 12:58:16.543512,1,5,7,8,7,7,9,10,11,10,10,10,1,11,,bn,1.0,4
45245,5.2,0.15,0.82,302.416,205.0,160.0,5.85,0.64,0.92,15.83,4.95,1.85,62698,2016-07-14 18:29:59.999999,2016-07-14 12:58:16.840093,1,5,7,8,7,9,9,10,10,10,10,10,1,11,,bn,1.0,1
45246,5.3,0.16,0.98,361.424,310.0,450.0,18.75,0.84,0.84,16.85,4.89,1.88,62699,2016-07-14 18:29:59.999999,2016-07-14 12:58:17.215715,1,5,7,8,7,7,7,10,10,10,10,10,1,11,,bn,1.0,3
45247,5.3,0.01,0.66,243.408,276.0,105.0,6.75,0.95,0.69,18.15,6.25,2.9,62700,2016-07-14 18:29:59.999999,2016-07-14 12:58:17.508699,1,5,8,9,7,9,9,10,10,10,10,10,1,10,,bn,1.0,2
45248,5.2,0.05,0.97,357.736,214.0,365.0,19.25,1.21,0.84,20.21,7.21,1.82,62701,2016-07-14 18:29:59.999999,2016-07-14 12:58:17.752883,1,5,7,8,7,7,7,10,10,10,10,10,1,10,,bn,1.0,2
45249,4.7,0.12,0.76,280.288,240.0,150.0,8.25,0.64,0.64,18.15,5.35,2.05,62702,2016-07-14 18:29:59.999999,2016-07-14 12:58:17.975395,1,5,7,8,7,9,9,10,10,10,10,10,1,11,,bn,1.0,2
45250,5.8,0.04,1.01,372.488,192.0,135.0,13.65,1.62,0.13,10.22,4.7,1.98,62703,2016-07-14 18:29:59.999999,2016-07-14 12:58:18.253947,2,5,7,8,7,9,8,10,11,10,10,10,1,10,,bn,1.0,5
45251,5.2,0.06,0.61,224.968,121.0,135.0,14.23,0.43,0.04,12.34,4.53,1.66,62704,2016-07-14 18:29:59.999999,2016-07-14 12:58:18.609151,1,5,8,9,7,9,8,11,11,10,10,10,1,11,,bn,1.0,4
45252,4.8,0.09,0.88,324.544,205.0,500.0,12.45,0.45,0.04,14.62,4.81,2.97,62705,2016-07-14 18:29:59.999999,2016-07-14 12:58:18.838519,1,5,7,8,7,7,8,11,11,10,10,10,1,11,,bn,1.0,2
45253,4.9,0.1,0.9,331.92,336.0,200.0,13.25,0.39,0.27,24.54,5.9,2.01,62706,2016-07-14 18:29:59.999999,2016-07-14 12:58:19.118833,1,5,7,8,7,8,8,11,11,10,10,10,1,11,,bn,1.0,2
45254,5.5,0.07,0.78,287.66,321.0,250.0,16.15,0.6,0.46,25.83,5.15,2.61,62707,2016-07-14 18:29:59.999999,2016-07-14 12:58:19.391741,1,5,7,8,7,8,7,10,10,10,10,10,1,11,,bn,1.0,3
45255,5.4,0.12,0.75,276.6,298.0,165.0,19.25,0.53,0.69,25.94,5.19,3.88,62708,2016-07-14 18:29:59.999999,2016-07-14 12:58:20.081713,1,5,7,9,7,9,7,11,10,10,10,10,1,11,,bn,1.0,5
45256,4.3,0.06,0.85,313.48,211.0,600.0,12.75,0.45,0.34,22.2,5.21,4.0,62709,2016-07-14 18:29:59.999999,2016-07-14 12:58:20.573843,1,5,7,8,7,7,8,11,11,10,10,10,1,11,,bn,1.0,2
45257,4.4,0.09,0.61,224.968,274.0,560.0,15.75,0.62,0.92,23.51,6.5,3.99,62710,2016-07-14 18:29:59.999999,2016-07-14 12:58:20.918606,1,5,8,9,7,7,7,10,10,10,10,10,1,11,,bn,1.0,4
45258,4.8,0.04,0.58,213.904,304.0,400.0,14.75,0.39,0.74,20.62,7.53,3.78,62711,2016-07-14 18:29:59.999999,2016-07-14 12:58:21.216647,1,5,8,9,7,7,8,11,10,10,10,10,1,11,,bn,1.0,5
45259,5.4,0.09,0.81,298.728,132.0,110.0,2.45,0.35,0.14,20.55,5.63,2.52,62712,2016-07-14 18:29:59.999999,2016-07-14 12:58:21.496917,1,5,7,8,7,9,9,11,11,10,10,10,1,11,,bn,1.0,4
45260,4.1,0.2,0.42,154.896,22.0,510.0,4.45,0.43,0.15,15.14,5.41,3.81,62713,2016-07-14 18:29:59.999999,2016-07-14 12:58:21.756682,1,5,9,9,9,7,9,11,11,10,10,10,1,11,,bn,1.0,3
45261,5.2,0.13,0.51,188.088,194.0,350.0,8.35,0.21,0.63,16.15,3.23,1.42,62714,2016-07-14 18:29:59.999999,2016-07-14 12:58:22.035598,1,5,8,9,7,7,9,11,10,10,10,10,1,11,,bn,1.0,2
45262,5.1,0.03,0.54,199.152,44.0,50.0,7.36,0.46,0.15,25.44,4.96,1.66,62715,2016-07-14 18:29:59.999999,2016-07-14 13:05:30.936347,1,5,8,9,9,9,9,11,11,10,10,10,1,11,,bn,1.0,4
45263,5.0,0.02,0.72,265.536,182.0,50.0,6.34,0.26,0.63,30.59,5.06,1.59,62716,2016-07-14 18:29:59.999999,2016-07-14 13:05:31.227499,1,5,8,9,7,9,9,11,10,10,10,10,1,11,,bn,1.0,2
45264,4.8,0.03,0.63,232.344,28.0,40.0,5.64,0.2,0.03,40.6,5.83,1.55,62717,2016-07-14 18:29:59.999999,2016-07-14 13:05:31.509349,1,5,8,9,9,9,9,11,11,10,10,10,1,11,,bn,1.0,2
45265,5.2,0.04,0.65,239.72,32.0,45.0,2.34,0.35,0.15,45.41,4.29,2.02,62718,2016-07-14 18:29:59.999999,2016-07-14 13:05:31.782182,1,5,8,9,9,9,9,11,11,10,10,10,1,11,,bn,1.0,2
45266,5.0,0.07,0.68,250.784,88.0,40.0,3.65,0.6,0.04,41.39,4.56,1.96,62719,2016-07-14 18:29:59.999999,2016-07-14 13:05:32.020025,1,5,8,9,8,9,9,10,11,10,10,10,1,11,,bn,1.0,4
45267,5.1,0.13,0.69,254.472,26.0,45.0,5.15,0.51,0.06,40.16,4.23,1.42,62720,2016-07-14 18:29:59.999999,2016-07-14 13:05:32.287961,1,5,8,9,9,9,9,11,11,10,10,10,1,11,,bn,1.0,5
45268,5.1,0.19,0.61,224.968,102.0,45.0,5.45,0.53,0.07,39.94,5.42,1.78,62721,2016-07-14 18:29:59.999999,2016-07-14 13:05:32.619489,1,5,8,9,7,9,9,11,11,10,10,10,1,11,,bn,1.0,2
45269,4.9,0.14,0.59,217.592,38.0,65.0,6.15,0.42,0.15,38.49,4.29,2.06,62722,2016-07-14 18:29:59.999999,2016-07-14 13:05:32.901338,1,5,8,9,9,9,9,11,11,10,10,10,1,11,,bn,1.0,4
