0,1,2,3,4,5
4103,Durgapur City Cen.(B.S.I.D) Resi. area Kanakanjan,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4104,ADDA BLOCK-41,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4105,Industrial Land S.I.Area,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4106,ADDA BLOCK-42,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4107,Industrial Land Raturia Angadhpur area,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4108,ADDA BLOCK-43,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4109,Industrial Land  Export promotion ind. Park,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4110,ADDA BLOCK-44,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4111,Industrial Land (Kamalpur Area),000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4112,Industrial Land (Area addjoining to EPIP),000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4113,Omarpur,090,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4114,ADDA BLOCK-45,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4115,Nabagram,091,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4116,Bidhan Nagar (Sec-2A)_(A1)Co. Cum RC,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4117,ADDA BLOCK-46,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4118,Itaru,092,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4119,Bidhan Nagar (Sec-2A)_(A)Resi,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4120,ADDA BLOCK-47,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4121,ADDA BLOCK-48,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4122,Bhuri,093,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4123,Bidhan Nagar (Sec-2A)_(A),000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4124,Bidhan Nagar (Sec-2A)_B Resi,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4125,ADDA BLOCK-49,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4126,Dalimgaria,094,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4127,ADDA BLOCK-50,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
