id,name,jl_number,block_id
2530,Jaynagar,335,14.0
2531,Gopalpur,336,14.0
2532,Phutiberya,337,14.0
2533,Bandarbani,338,14.0
2534,Katapal,339,14.0
2535,Pechhela,340,14.0
2536,Sahajpur,341,14.0
2537,Shalbani,342,14.0
2538,Katalda,343,14.0
2539,Baherabani,344,14.0
2540,Tikarpara,359,14.0
2541,Thakurabada,360,14.0
2542,Mohanpur,361,14.0
2543,Nishchintapur,362,14.0
2544,Dumurtor,363,14.0
2545,Gobarda,364,14.0
2546,Baradi Kalapathar,015,15.0
2547,Baradi,016,15.0
2548,Dalambhija,017,15.0
2549,Balguma,018,15.0
2550,Chuagara,019,15.0
2551,Bhangadeuli,020,15.0
2552,Shushunia,021,15.0
2553,Maukura,022,15.0
2554,Belatikri,023,15.0
2555,Guniada,024,15.0
2556,Panchur,025,15.0
2557,Gagra,026,15.0
2558,Bamundihi,027,15.0
2559,Nutandihi,028,15.0
2560,Jamkanali,029,15.0
2561,Paryashol,030,15.0
2562,Benachapra,031,15.0
2563,Sareskol,032,15.0
2564,Jambani,033,15.0
2565,Jhulishol,034,15.0
2566,Rajakhas,035,15.0
2567,Chamkura,036,15.0
2568,Ela,037,15.0
2569,Malibana,038,15.0
2570,Patgara,039,15.0
2571,Pirargari,040,15.0
2572,Chhota Amlatora,041,15.0
2573,Krishnapur,042,15.0
2574,Bara Amlatora,043,15.0
2575,Neturpur,044,15.0
2576,Chhota Goaldangra,045,15.0
2577,Bara Goaldangra,046,15.0
2578,Parashia,047,15.0
2579,Barpakhan,048,15.0
2580,Bara Murarpur,049,15.0
2581,Jamirapara,050,15.0
2582,Khalaimura,051,15.0
2583,Tapta,052,15.0
2584,Banshkhopa,053,15.0
2585,Kadamdahara,054,15.0
2586,Mayna,055,15.0
2587,Gobindapurdamdi,056,15.0
2588,Kotalshol,108,15.0
2589,Chiltor,109,15.0
2590,Jhola,110,15.0
2591,Dhepua,111,15.0
2592,Chaknara,112,15.0
2593,Deuli,113,15.0
2594,Narayanpur,114,15.0
2595,Beoncha,115,15.0
2596,Beliakala,116,15.0
2597,Bara Birbhanpur,117,15.0
2598,Chhota Birbhanpur,118,15.0
2599,Raghunathpur,119,15.0
2600,Chatiasol,120,15.0
2601,Khamani,121,15.0
2602,Tantibaria,122,15.0
2603,Andharia,123,15.0
2604,Habra,124,15.0
2605,Shaldahara,125,15.0
2606,Jangalkhas,126,15.0
2607,Bara Jamabedya,127,15.0
2608,Goalbari,128,15.0
2609,Sukhadali,129,15.0
2610,Kherurabad,130,15.0
2611,Sirsa,131,15.0
2612,Bara Maliara,132,15.0
2613,Dharmmapur,133,15.0
2614,Katgara,134,15.0
2615,Basudebpur,135,15.0
2616,Bagjanta,136,15.0
2617,Sidi,137,15.0
2618,Gopalpur,138,15.0
2619,Panchberia,173,15.0
2620,Banpur,174,15.0
2621,Tapaberia,175,15.0
2622,Sindurpur,176,15.0
2623,Chhota Jamabedya,177,15.0
2624,Kusumtikri,178,15.0
2625,Betjhor,179,15.0
2626,Botha,180,15.0
2627,Bhangadali,181,15.0
2628,Ghungia,182,15.0
2629,Benasuli,183,15.0
2630,Bara Amjhor,184,15.0
2631,Chhota Amlatara,185,15.0
2632,Bara Amlatara,186,15.0
2633,Kenduadangri,187,15.0
2634,Telijant,188,15.0
2635,Bhalukchira,189,15.0
2636,Rupaghagra,190,15.0
2637,Sarulia,191,15.0
2638,Nekrapahari,192,15.0
2639,Amdiha,193,15.0
2640,Beruabaid,194,15.0
2641,Dhabani,195,15.0
2642,Chhota Amjhor,196,15.0
2643,Kuchlaghati,197,15.0
2644,Shitalpur,198,15.0
2645,Phulberia,199,15.0
2646,Makalrangi,200,15.0
2647,Kayerpara,206,15.0
2648,Harinarayanpur,207,15.0
2649,Danrkini,208,15.0
2650,Kumarpur,209,15.0
2651,Murku,210,15.0
2652,Kuldiha,211,15.0
2653,Gobindapur,212,15.0
2654,Shaluka,213,15.0
2655,Bamnishol,214,15.0
2656,Kayma,215,15.0
2657,Hatbari,216,15.0
2658,Karbhanga,217,15.0
2659,Bhadkunra,218,15.0
2660,Asanjhor,219,15.0
2661,Khaerpahari,220,15.0
2662,Bhalukkhunya,221,15.0
2663,Keshia,222,15.0
2664,Sarenga,223,15.0
2665,Chhota Sarenga,224,15.0
2666,Banshi,225,15.0
2667,Nimdangra,226,15.0
2668,Chhota Shalbani,227,15.0
2669,Bara Shalbani,228,15.0
2670,Amdani,229,15.0
2671,Ganganala,230,15.0
2672,Jetpara,280,15.0
2673,Dharampur,281,15.0
2674,Bandarshol,282,15.0
2675,Bikrampur,283,15.0
2676,Jhatipahari,284,15.0
2677,Jamshol,285,15.0
2678,Baligura,286,15.0
2679,Asna,287,15.0
2680,Chhota Garra,288,15.0
2681,Bara Garra,289,15.0
2682,Dakharang,290,15.0
2683,Kadma,291,15.0
2684,Chingra,292,15.0
2685,Dangarpara,293,15.0
2686,Shankaria,294,15.0
2687,Jamrepara,295,15.0
2688,Debgram,296,15.0
2689,Chautar,297,15.0
2690,Taldiha,345,15.0
2691,Junbni,346,15.0
2692,Rasunia,347,15.0
2693,Jakpur,348,15.0
2694,Gargarya,349,15.0
2695,Agaya,350,15.0
2696,Ampata,351,15.0
2697,Sitarampur,352,15.0
2698,Nibra,353,15.0
2699,Indabinda,354,15.0
2700,Parulia,355,15.0
2701,Janapara,356,15.0
2702,Chandpara,357,15.0
2703,Bamandiha,358,15.0
2704,Makarkol,365,15.0
2705,Jukhanala,366,15.0
2706,Baishpatra,367,15.0
2707,Belapal,368,15.0
2708,Deuli,369,15.0
2709,Penchera,370,15.0
2710,Thakurbari,371,15.0
2711,Majura,372,15.0
2712,Ghugijan,001,16.0
2713,Gopalpur,002,16.0
2714,Baruniya,003,16.0
2715,Gosaindihi,004,16.0
2716,Tuman,005,16.0
2717,Kusumkhundi,006,16.0
2718,Kajalkura,007,16.0
2719,Basantapur,008,16.0
2720,Banpukhuria,009,16.0
2721,Naranpur,010,16.0
2722,Narkoli,011,16.0
2723,Nilgiri,012,16.0
2724,Balarampur,013,16.0
2725,Sarenggarh,014,16.0
2726,Dudhajharna,015,16.0
2727,Pareshnath,016,16.0
2728,Kamarkuli,017,16.0
2729,Barda,018,16.0
2730,Ambikanagar,019,16.0
2731,Hatikheda,020,16.0
2732,Mukundapur,021,16.0
2733,Chiada,022,16.0
2734,Punnapani,023,16.0
2735,Puddi,024,16.0
2736,Jharia,025,16.0
2737,Baddi,026,16.0
2738,Gholkuri,027,16.0
2739,Katakumari,028,16.0
2740,Deulbhira,029,16.0
2741,Laekdihi,030,16.0
2742,Ladhanbani,031,16.0
2743,Dulalpur,032,16.0
2744,Ladda,033,16.0
2745,Lipidiri,034,16.0
2746,Ramdungri,035,16.0
2747,Dhanara,036,16.0
2748,Nishchintapur,037,16.0
2749,Rudra,038,16.0
2750,Burishol,039,16.0
2751,Keshra,040,16.0
2752,Rajshol,041,16.0
2753,Thutashol,042,16.0
2754,Lalmanikocha,043,16.0
2755,Chhatardoba,044,16.0
2756,Damodarpur,045,16.0
2757,Dhananjoypur,046,16.0
2758,Jaynagar,047,16.0
2759,Barkola,048,16.0
2760,Chaitandihi,049,16.0
2761,Kheriakocha,050,16.0
2762,Bagsanda,051,16.0
2763,Maheshpur,052,16.0
2764,Deuli,053,16.0
2765,Chirkunkanali,054,16.0
2766,Jorakend,055,16.0
2767,Bagdubi,056,16.0
2768,Palashbani,057,16.0
2769,Shukhla,058,16.0
2770,Maukanali,059,16.0
2771,Budhkhila,060,16.0
2772,Atashol,061,16.0
2773,Tamakhun,062,16.0
2774,Dhabani,063,16.0
2775,Naranpur,064,16.0
2776,Kama,065,16.0
2777,Benkakocha,066,16.0
2778,Kulam,067,16.0
2779,Makhnu,068,16.0
2780,Javi,069,16.0
2781,Bagdiha,070,16.0
2782,Chaltha,071,16.0
2783,Bethuala,072,16.0
2784,Panijia,073,16.0
2785,Pithagerya,074,16.0
2786,Ranibandh,075,16.0
2787,Bhurkura,076,16.0
2788,Shushunigeria,077,16.0
2789,Chilagara,078,16.0
2790,Keliapathar,079,16.0
2791,Hetiapathar,080,16.0
2792,Bikramdihi,081,16.0
2793,Dhagra,082,16.0
2794,Banshol,083,16.0
2795,Sindurpur,084,16.0
2796,Khutakata Krishnanagar,085,16.0
2797,Baragram,086,16.0
2798,Surulia,087,16.0
2799,Jalneja,088,16.0
2800,Puranpani,089,16.0
2801,Bhabanipathar,090,16.0
2802,Shuknibasa,091,16.0
2803,Dhadkidihi,092,16.0
2804,Nutandihi,093,16.0
2805,Puada,094,16.0
2806,Pirargari,095,16.0
2807,Chholagara,096,16.0
2808,Dhadanga,097,16.0
2809,Jamda,098,16.0
2810,Khamardanga,099,16.0
2811,Malcharar,100,16.0
2812,Madandihi,101,16.0
2813,Haludkanali,102,16.0
2814,Bhalkadungri,103,16.0
2815,Gosainidihi,104,16.0
2816,Hakim Sinan,105,16.0
2817,Churapathar,106,16.0
2818,Nachna,107,16.0
2819,Tungcharar,108,16.0
2820,Malbera,109,16.0
2821,Birkham,110,16.0
2822,Rajakata,111,16.0
2823,Buriam,112,16.0
2824,Halud Kanali,113,16.0
2825,Talgara,114,16.0
2826,Ghagra,115,16.0
2827,Garra,116,16.0
2828,Jamgerya,117,16.0
2829,Maula,118,16.0
2830,Katiam,119,16.0
2831,Ledapakur,120,16.0
2832,MahadebSinan,121,16.0
2833,Mitha-am,122,16.0
2834,Barapacha,123,16.0
2835,Khata-am,124,16.0
2836,Raygar,125,16.0
2837,Gunpura,126,16.0
2838,Khejura,127,16.0
2839,Ramgar,128,16.0
2840,Rautara,129,16.0
2841,Banshdiha,130,16.0
2842,Jhilimili,131,16.0
2843,Sareshbad,132,16.0
2844,Bhurrudanga,133,16.0
2845,Kasakend,134,16.0
2846,Serengda,135,16.0
2847,Tilabani,136,16.0
2848,Hijli,137,16.0
2849,Madhabpur,138,16.0
2850,Shuritari,139,16.0
2851,Kanthalia,140,16.0
2852,Gobindashol,141,16.0
2853,Bheduashol,142,16.0
2854,Muchikata,143,16.0
2855,Churku,144,16.0
2856,Shyamadihi,145,16.0
2857,Haramgara,146,16.0
2858,Maisamura,147,16.0
2859,Phuljhor,148,16.0
2860,Bagdubi,149,16.0
2861,Kawatanga,150,16.0
2862,Burishal,151,16.0
2863,Goalmuri,152,16.0
2864,Sutan,153,16.0
2865,Bhulagara,154,16.0
2866,Laladi,155,16.0
2867,Bauripal,156,16.0
2868,Kalaboni,157,16.0
2869,Katro,158,16.0
2870,Dhankura,159,16.0
2871,Huangkhana,160,16.0
2872,Punshya,161,16.0
2873,Sindri-am,162,16.0
2874,Buchiburi,163,16.0
2875,Dhanjhar,164,16.0
2876,Chhendapathar,165,16.0
2877,Satnala,166,16.0
2878,Murkum Chhotatung,167,16.0
2879,Singlahar,168,16.0
2880,Paryasha,169,16.0
2881,Purnapani Chhotatung,170,16.0
2882,Purnapani Baratung,171,16.0
2883,Kankrijharna,172,16.0
2884,Khejurkhanna,173,16.0
2885,Chalkigara,174,16.0
2886,Dhobakacha,175,16.0
2887,Madankata,176,16.0
2888,Dangarda,177,16.0
2889,Janta Dumur,178,16.0
2890,Barikul,179,16.0
